"Authors","Author full names","Author(s) ID","Title","Year","Link"
"Bustince H.; Barrenechea E.; Pagola M.; Fernandez J.; Xu Z.; Bedregal B.; Montero J.; Hagras H.; Herrera F.; De Baets B.","Bustince, Humberto (55034746100); Barrenechea, Edurne (23090078700); Pagola, Miguel (6602952001); Fernandez, Javier (57198957963); Xu, Zeshui (55502698400); Bedregal, Benjamin (15520790700); Montero, Javier (7103015773); Hagras, Hani (6701586037); Herrera, Francisco (7102347190); De Baets, Bernard (55664779600)","55034746100; 23090078700; 6602952001; 57198957963; 55502698400; 15520790700; 7103015773; 6701586037; 7102347190; 55664779600","A historical account of types of fuzzy sets and their relationships","2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962091537&doi=10.1109%2fTFUZZ.2015.2451692&partnerID=40&md5=9743b012d28532b63b6621869d3b514b"
"Santana F.; Santiago R.","Santana, Fagner (51061387700); Santiago, Regivan (7006674404)","51061387700; 7006674404","A generalized distance based on a generalized triangle inequality","2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959338800&doi=10.1016%2fj.ins.2016.01.058&partnerID=40&md5=651ed2b9da0945e404e27a10eb66f25b"
"Bernardo J.H.J.A.; Dias J.J.L., Jr.; Cunha J.A.O.G.","Bernardo, João Helis J. A. (57203415840); Dias, José Jorge Lima (36617065900); Cunha, José Adson O. G. (57188750946)","57203415840; 36617065900; 57188750946","ScrumMaster's attributions and competences: An exploratory study; [Atribuições e competências individuais do scrum master: Um estudo exploratório]","2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040322448&partnerID=40&md5=bee8bd0a7d1b6ed192c1229ee514c75f"
"Cavalcante E.; Cacho N.; Lopes F.; Batista T.; Oquendo F.","Cavalcante, Everton (54893538400); Cacho, Nélio (17433450200); Lopes, Frederico (57193516964); Batista, Thais (36812228000); Oquendo, Flavio (6602992155)","54893538400; 17433450200; 57193516964; 36812228000; 6602992155","Thinking Smart Cities as Systems-of-Systems: A Perspective Study","2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009437713&doi=10.1145%2f3009912.3009918&partnerID=40&md5=b7b2558eb7f5162a58c654741be00d5a"
"Daudt N.D.F.; Bram M.; Barbosa A.P.C.; Laptev A.M.; Alves C., Jr.","Daudt, Natália de Freitas (57270528300); Bram, Martin (6701691197); Barbosa, Ana Paula Cysne (56204661200); Laptev, Alexander M. (21734751900); Alves, Clodomiro (7102052211)","57270528300; 6701691197; 56204661200; 21734751900; 7102052211","Manufacturing of highly porous titanium by metal injection molding in combination with plasma treatment","2017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984853844&doi=10.1016%2fj.jmatprotec.2016.08.022&partnerID=40&md5=b1301aa1bf2db9f3cd9f51f18f1a7b10"
"Costa M.L.; Padilha C.A.A.; Melo J.D.; Neto A.D.D.","Costa, Mademerson Leandro (57192693306); Padilha, Carlos Alberto Araujo (41262081900); Melo, Jorge Dantas (55664205300); Neto, Adriao Duarte Doria (7102618949)","57192693306; 41262081900; 55664205300; 7102618949","Hierarchical reinforcement learning and parallel computing applied to the k-server problem","2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007460000&doi=10.1109%2fTLA.2016.7786315&partnerID=40&md5=ad45f0e1ef79d995e75f9194c81e0c76"
"Guimaraes J.P.F.; Fontes A.I.R.; Rego J.B.A.; De Martins M.A.; Principe J.C.","Guimaraes, Joao P.F. (57190426813); Fontes, Aluisio I.R. (55763633400); Rego, Joilson B.A. (56702327300); De Martins, M. Allan (57985251100); Principe, Jose C. (36045958600)","57190426813; 55763633400; 56702327300; 57985251100; 36045958600","Complex Correntropy: Probabilistic Interpretation and Application to Complex-Valued Data","2017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012950213&doi=10.1109%2fLSP.2016.2634534&partnerID=40&md5=f6da4b66b90e16ef7b8d7e80eafa2fd5"
"Domingos D.C.L.; Lima L.F.S.G.; Messias T.F.; Feijo J.V.L.; Diniz A.A.R.; Soares H.B.","Domingos, Daniela C. L. (57192919673); Lima, Luis F. S. G. (57192920301); Messias, Thiago F. (57192918836); Feijo, Jose V. L. (57192916403); Diniz, Anthony A. R. (37020093100); Soares, Heliana B. (23973233600)","57192919673; 57192920301; 57192918836; 57192916403; 37020093100; 23973233600","Blood hero: An application for encouraging the blood donation by applying gamification","2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009143746&doi=10.1109%2fEMBC.2016.7592002&partnerID=40&md5=e11458f59c810fcefa49ac693591910d"
"de Melo R.S.S.; de Carvalho A.C.V.; Yokota A.A.; Granja A.D.; Noguchi M.","de Melo, Reymard S.S. (55355514500); de Carvalho, Adrieli C.V. (57194685184); Yokota, Alessandra A. (59298623900); Granja, Ariovaldo D. (6603282287); Noguchi, Masa (55107557800)","55355514500; 57194685184; 59298623900; 6603282287; 55107557800","ZEMCH AND GREEN TARGET COSTING APPROACHES: INFERENCES FROM A DESIGN WORKSHOP","2017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202020064&partnerID=40&md5=0231bdea8c705d915221531a60655910"
"Da Silva I.A.; Bedregal B.; Santiago R.H.N.","Da Silva, I.A. (8386073100); Bedregal, B. (15520790700); Santiago, R.H.N. (7006674404)","8386073100; 15520790700; 7006674404","On Admissible Total Orders for Interval-valued Intuitionistic Fuzzy Membership Degrees","2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026815771&doi=10.1016%2fj.fiae.2016.06.003&partnerID=40&md5=537b727ec5bacde807d58c36deab7b61"
